ID,GBM_1,GBM_2,DP_1,GBM_3,GBM_4,GBM_5,GBM_6,GLM_7,GBM_8,GBM_9,DP_2,GBM_10,GBM_11,DRF_1,XRT_1
2778,0.12957,0.06377,0.04851,0.12431,0.26233,0.06734,0.11237,0.18841,0.08719,0.05466,0.2956,0.07632,0.21245,0.37372,0.17601
6516,0.89625,0.76644,0.22633,0.06888,1.0123,1.38151,4.74649,0.45011,0.64275,0.31217,0.48465,0.35306,0.95725,1.43133,0.02715
12589,0.15789,0.14869,0.0283,0.04875,0.20664,0.14734,0.01202,0.56683,0.1264,0.209,0.07416,0.0864,0.14508,0.18444,0.08497
16901,0.34253,0.26689,0.17075,0.31098,0.34444,0.22984,0.54705,0.23529,0.3628,0.42665,0.49213,0.30111,3.51572,0.58756,0.1192
2330,0.14886,0.06811,0.04627,0.14196,0.35562,0.0722,0.12659,0.23215,0.09552,0.05782,0.41964,0.08262,0.17523,0.27205,0.14967
13133,0.00792,0.0795,0.0301,0.08379,0.05727,0.05193,0.12877,0.09457,0.12808,0.16158,0.11353,0.26977,0.48086,0.48745,0.28839
11105,0.00695,0.0681,0.01409,0.13297,0.0625,0.01603,0.0189,0.07673,0.1061,0.39337,0.13184,0.33844,0.77163,0.60912,0.15611
15643,0.04466,0.02183,0.09625,0.0022,0.08029,0.02574,0.27861,0.20419,0.24558,0.3332,0.07118,0.45612,0.79036,0.58817,0.05943
3941,0.45171,2.94445,0.91258,0.91773,0.54972,0.56331,0.54782,0.12201,0.46939,0.3877,0.25067,0.94947,0.20976,0.52326,0.0671
13004,0.02116,0.08291,0.21154,0.02654,0.00459,0.01154,0.07861,0.20662,0.10644,0.00214,0.14295,0.01734,0.17583,0.87151,0.855
13006,0.08898,0.0607,0.02892,0.04423,0.03841,0.0643,0.06756,0.06553,0.14089,0.05338,0.0785,0.1358,0.13884,0.05069,0.00372
9555,0.4721,1.46162,1.10202,0.56054,3.57175,0.27228,1.77611,1.00169,1.10149,0.95695,7.71848,0.79465,8.84979,17.85084,0.08714
5187,0.12618,0.23076,0.0078,0.19646,0.18922,0.16436,0.12856,0.13923,0.05877,0.00174,0.099,0.08091,0.25963,0.09012,0.10147
913,0.34253,0.2679,0.17024,0.32814,0.40736,0.24853,0.61074,0.21436,0.40388,0.45057,0.18758,0.58273,0.69171,0.26438,0.11786
20338,0.24244,0.33738,0.31454,0.12955,0.34619,0.09894,0.05761,0.30704,0.1066,0.00531,0.68159,0.03493,0.42218,0.01997,0.01052
7086,0.04095,0.00195,0.06437,0.06782,0.15231,0.03294,0.01993,0.06639,0.02513,0.04927,0.08074,0.00416,0.0775,0.50042,0.26686
575,0.14632,0.18132,0.09395,0.1924,0.06235,0.04701,0.00438,0.18008,0.02001,0.14197,0.1707,0.02813,0.49573,0.42919,0.05778
7007,0.97896,0.24459,1.92942,0.23174,0.0131,0.02422,0.20859,0.75137,0.2748,0.21434,1.11591,1.74041,43.53006,2.71972,0.24982
13950,0.52163,0.77442,0.35021,0.51295,0.76165,0.46983,0.98716,0.39014,0.80264,0.87095,0.11753,0.93433,1.22425,0.92672,0.60984
8485,0.03097,0.17172,0.04586,0.04264,0.14441,0.10679,0.03839,0.05077,0.06593,0.19394,0.02709,0.57956,0.52225,0.16744,0.08789
14329,0.00521,0.05066,0.06046,0.01253,0.05289,0.02508,0.01082,0.13131,0.07598,0.15458,0.01841,0.10231,0.35018,0.10811,0.01191
15880,0.8528,0.79127,0.33354,0.89857,0.6583,0.35695,1.05711,0.36006,0.92791,1.02815,0.25905,0.97666,0.98484,0.92141,0.45941
6528,0.0867,0.23599,0.10669,0.32643,0.01386,0.01167,0.08046,0.09793,0.3556,0.35785,0.12236,0.85948,1.67127,112.54235,0.36959
